,link,count
306,link1529008357401,18
307,link1520418422817,18
308,link704374636564,18
309,link240518168578,18
310,link317827579911,18
311,link919123001345,18
312,link343597383687,18
313,link317827579932,18
314,link1254130450434,18
315,link1529008357383,18
316,link231928234006,17
317,link283467841548,17
318,link1589137899537,17
319,link1571958030339,17
320,link352187318289,17
321,link575525617666,17
322,link274877906968,17
323,link446676598802,17
324,link1194000908293,17
325,link1623497637891,17
326,link1047972020226,17
327,link1202590842901,17
328,link979252543519,17
329,link274877906955,16
330,link1219770712068,16
331,link412316860424,16
332,link1666447310861,16
333,link1546188226587,16
334,link1202590842895,16
335,link335007449096,16
336,link1245540515856,16
337,link85899345938,16
338,link1090921693184,16
339,link25769803777,16
340,link601295421463,16
341,link369367187461,16
342,link824633720851,16
343,link712964571149,16
344,link429496729615,16
345,link1013612281878,16
346,link927712935937,16
347,link489626271747,16
348,link1065151889420,16
349,link635655159822,16
350,link1125281431573,16
351,link1219770712073,16
352,link1022202216463,16
353,link1082331758610,15
354,link1013612281864,15
355,link1056561954843,15
356,link721554505743,15
357,link231928233997,15
358,link85899345934,15
359,link652835029005,15
360,link1159641169933,15
361,link171798691847,15
362,link798863917071,15
363,link1365799600141,15
364,link498216206343,15
365,link163208757260,15
366,link927712935944,15
367,link34359738369,15
368,link472446402581,15
369,link14,15
370,link369367187468,15
371,link944892805140,15
372,link386547056662,15
373,link42949672974,15
374,link25769803792,15
375,link386547056650,14
376,link541165879306,14
377,link704374636557,14
378,link652835029001,14
379,link231928234007,14
380,link498216206357,14
381,link412316860418,14
382,link180388626444,14
383,link249108103190,14
384,link1254130450433,14
385,link1056561954818,14
386,link120259084320,14
387,link1271310319620,14
388,link1047972020224,14
389,link1434519076883,14
390,link1546188226592,14
391,link566935683085,14
392,link618475290651,14
393,link77309411346,14
394,link9,14
395,link1108101562368,14
396,link1649267441667,14
397,link541165879315,14
398,link1623497637894,14
399,link1520418422787,14
400,link1082331758611,14
401,link652835028998,14
402,link1013612281881,14
403,link94489280523,14
404,link257698037780,14
405,link910533066753,13
406,link790273982483,13
407,link1554778161158,13
408,link1451698946048,13
409,link670014898192,13
410,link1589137899542,13
411,link704374636551,13
412,link695784701952,13
413,link1675037245450,13
414,link223338299404,13
415,link309237645327,13
416,link730144440337,13
417,link1090921693207,13
418,link223338299401,13
419,link1142461300738,13
420,link1382979469335,13
421,link60129542145,12
422,link1692217114629,12
423,link1666447310850,12
424,link987842478095,12
425,link1580547964943,12
426,link231928233994,12
427,link317827579923,12
428,link446676598795,12
429,link1554778161181,12
430,link532575944713,12
431,link1554778161187,12
432,link609885356043,12
433,link1529008357405,12
434,link1271310319625,12
435,link549755813896,12
436,link1580547964938,12
437,link1159641169920,12
438,link987842478081,12
439,link506806140930,12
440,link1408749273098,12
441,link85899345924,12
442,link292057776133,12
443,link1013612281856,12
444,link876173328397,12
445,link1082331758594,12
446,link962072674329,12
447,link25769803781,12
448,link386547056663,12
449,link1597727834112,12
450,link695784701966,12
451,link395136991237,12
452,link42949672960,12
453,link609885356059,11
454,link541165879298,11
455,link704374636560,11
456,link343597383694,11
457,link807453851660,11
458,link29,11
459,link343597383710,11
460,link1709396983826,11
461,link781684047895,11
462,link858993459212,11
463,link979252543511,11
464,link541165879302,11
465,link1194000908315,11
466,link867583393818,11
467,link541165879305,11
468,link1374389534721,11
469,link970662608914,11
470,link1400159338526,11
471,link721554505729,11
472,link910533066754,11
473,link790273982476,11
474,link1511828488203,11
475,link1322849927200,11
476,link1494648619026,11
477,link1108101562377,11
478,link944892805154,11
479,link360777252883,11
480,link953482739733,11
481,link738734374915,11
482,link953482739712,11
483,link687194767373,10
484,link1374389534729,10
485,link609885356038,10
486,link1434519076875,10
487,link1331439861789,10
488,link1460288880652,10
489,link180388626434,10
490,link1082331758614,10
491,link1314259992576,10
492,link1443109011469,10
493,link704374636561,10
494,link231928233986,10
495,link171798691840,10
496,link1468878815232,10
497,link1314259992592,10
498,link137438953497,10
499,link146028888071,10
500,link1013612281885,10
501,link317827579904,10
502,link670014898188,10
503,link712964571143,10
504,link188978561026,10
505,link206158430225,10
506,link1666447310862,10
507,link1623497637896,10
508,link498216206360,10
509,link1314259992591,10
510,link867583393793,10
511,link1116691496962,10
512,link824633720852,10
513,link1640677507074,10
514,link1486058684439,10
515,link25769803784,10
516,link738734374936,10
517,link128849018908,10
518,link420906795034,10
519,link94489280517,10
520,link120259084323,10
521,link1692217114631,10
522,link257698037770,10
523,link1056561954826,10
524,link42949672976,10
525,link231928233999,10
526,link197568495617,10
527,link352187318277,10
528,link1554778161180,10
529,link764504178692,9
530,link807453851655,9
531,link532575944714,9
532,link1632087572497,9
533,link1692217114640,9
534,link1632087572509,9
535,link652835028993,9
536,link180388626440,9
537,link867583393808,9
538,link695784701957,9
539,link1700807049218,9
540,link1297080123410,9
541,link1511828488206,9
542,link919123001350,9
543,link17179869196,9
544,link360777252885,9
545,link154618822677,9
546,link541165879322,9
547,link1271310319621,9
548,link429496729604,9
549,link1142461300737,9
550,link652835029010,9
551,link1614907703310,9
552,link154618822670,9
553,link609885356058,9
554,link1176821039119,9
555,link1073741824001,9
556,link1314259992577,9
557,link1494648619016,9
558,link1589137899540,9
559,link1047972020244,9
560,link1494648619008,9
561,link163208757248,9
562,link807453851672,9
563,link1451698946057,8
564,link206158430220,8
565,link1623497637923,8
566,link223338299402,8
567,link1511828488209,8
568,link438086664204,8
569,link240518168581,8
570,link6,8
571,link721554505741,8
572,link266287972355,8
573,link1468878815240,8
574,link790273982467,8
575,link1640677507089,8
576,link335007449093,8
577,link893353197588,8
578,link51539607553,8
579,link781684047873,8
580,link1271310319635,8
581,link1443109011458,8
582,link644245094403,8
583,link438086664212,8
584,link429496729613,8
585,link1082331758626,8
586,link609885356047,8
587,link1657857376281,8
588,link721554505738,8
589,link1056561954854,8
590,link17179869184,8
591,link1675037245441,8
592,link1520418422790,8
593,link910533066774,8
594,link1365799600132,8
595,link644245094420,8
596,link481036337187,8
597,link549755813890,8
598,link584115552261,8
599,link1477468749828,8
600,link292057776138,8
601,link1151051235329,8
602,link609885356042,8
603,link386547056666,8
604,link1,8
605,link395136991266,8
606,link51539607559,8
607,link146028888076,8
608,link1614907703318,8
609,link936302870532,8
610,link343597383705,8
611,link618475290648,8
612,link1236950581256,8
613,link1176821039117,8
614,link463856467989,8
615,link309237645320,8
616,link755914244103,8
617,link1537598291975,8
618,link1288490188814,8
619,link1151051235328,8
620,link1202590842880,8
621,link257698037761,8
622,link609885356044,8
623,link274877906951,8
624,link446676598784,8
625,link1185410973708,8
626,link1322849927170,8
627,link1529008357385,8
628,link566935683082,8
629,link1340029796356,8
630,link1614907703303,8
631,link910533066773,8
632,link850403524625,8
633,link1374389534730,7
634,link317827579918,7
635,link833223655445,7
636,link601295421464,7
637,link996432412699,7
638,link1503238553623,7
639,link1709396983808,7
640,link8589934616,7
641,link1142461300743,7
642,link764504178701,7
643,link781684047898,7
644,link1168231104531,7
645,link111669149712,7
646,link128849018880,7
647,link867583393802,7
648,link489626271765,7
649,link558345748485,7
650,link1254130450439,7
651,link687194767378,7
652,link1262720385032,7
653,link584115552266,7
654,link919123001364,7
655,link360777252876,7
656,link154618822679,7
657,link661424963588,7
658,link1305670057996,7
659,link85899345923,7
660,link833223655429,7
661,link1047972020245,7
662,link1571958030337,7
663,link979252543493,7
664,link1168231104513,7
665,link1529008357404,7
666,link326417514497,7
667,link652835029004,7
668,link1374389534741,7
669,link1013612281883,7
670,link841813590038,7
671,link893353197583,7
672,link154618822688,7
673,link197568495632,7
674,link20,7
675,link1073741824002,7
676,link343597383708,7
677,link867583393821,7
678,link687194767376,7
679,link1176821039118,7
680,link300647710730,7
681,link1073741824011,7
682,link472446402577,7
683,link17179869197,6
684,link1022202216456,6
685,link687194767401,6
686,link1133871366145,6
687,link721554505737,6
688,link730144440320,6
689,link266287972377,6
690,link721554505755,6
691,link429496729601,6
692,link369367187477,6
693,link755914244109,6
694,link420906795035,6
695,link249108103183,6
696,link1546188226566,6
697,link687194767393,6
698,link1425929142286,6
699,link412316860417,6
700,link1279900254221,6
701,link60129542146,6
702,link1529008357392,6
703,link128849018898,6
704,link403726925841,6
705,link1382979469332,6
706,link68719476755,6
707,link592705486863,6
708,link1709396983812,6
709,link1056561954849,6
710,link1537598291968,6
711,link764504178698,6
712,link154618822656,6
713,link1675037245451,6
714,link1614907703312,6
715,link798863917070,6
716,link1099511627790,6
717,link395136991235,6
718,link68719476741,6
719,link1211180777479,6
720,link1133871366166,6
721,link257698037783,6
722,link944892805122,6
723,link1297080123397,6
724,link1425929142273,6
725,link1125281431577,6
726,link652835029007,6
727,link1340029796366,6
728,link137438953474,6
729,link1400159338505,6
730,link1039382085656,6
731,link644245094423,6
732,link1417339207702,6
733,link1228360646683,6
734,link1013612281859,6
735,link506806140933,6
736,link867583393822,6
737,link1700807049216,6
738,link1322849927194,6
739,link455266533376,6
740,link1039382085643,6
741,link1597727834129,6
742,link773094113296,6
743,link781684047903,6
744,link738734374926,6
745,link369367187460,6
746,link1400159338523,6
747,link987842478098,6
748,link17179869191,6
749,link266287972358,6
750,link1348619730947,6
751,link1039382085660,6
752,link300647710734,6
753,link1546188226568,6
754,link987842478086,6
755,link1073741824003,6
756,link996432412683,6
757,link34359738393,6
758,link1254130450446,6
759,link781684047884,6
760,link1408749273116,6
761,link1408749273113,6
762,link1013612281871,6
763,link661424963584,6
764,link1614907703306,6
765,link618475290649,6
766,link1391569403924,6
767,link1365799600133,6
